QUEST_LV_0400_20161212_000001	Kedoran Alliance Merchant Alta	케도라 상단원 알타
QUEST_LV_0400_20161212_000116	{nl}Kamu tampaknya bukanlah traveler biasa sepertinya…	{nl}그냥 평범한 여행자는 아니신 것 같은데요?
QUEST_LV_0400_20161212_000117	Apapun itu, Gosal telah menghilang, sehingga kita bisa pergi ke sana.{nl} Kami harus memeriksa Tarkha Lot untuk mengetahui benda apa itu.	어쨌든, 길을 막고 방해하던 고살도 사라졌으니 다시 가 보죠.{nl}타르카 공터에 있는 기념비로 추정되는 물체를 확인해봐야겠습니다.
QUEST_LV_0400_20161212_000118	Benda yang terlihat seperti pohon ini sebenarnya merupakan monumen.{nl}ini semua terjadi karena spell.	여기 이 나무처럼 보이는 것이 기념비입니다.{nl}변형 마법이 걸려 있어서 이렇게 보입니다.
QUEST_LV_0400_20161212_000119	{nl}Kami akan men-dispell dengan orb yang kamu berikan kepada kami.	{nl}그럼 여행자님께서 찾아다 주신, 그 보주를 사용해서 변형 마법을 해제하겠습니다.
QUEST_LV_0400_20161212_000120	Monumen sudah kembali ke bentuk aslinya.{nl}Kami akan mencari bagian informasi yang salah dan memperbaikinya.	이제 기념비가 원래의 모습으로 돌아왔습니다.{nl}그럼, 기념비의 내용을 확인해서 틀린 내용이 있으면 수정하도록 하겠습니다.
QUEST_LV_0400_20161212_000121	Kami sudah selesai mengoreksi yang ini, kita harus mencari monumen lainnya.	이 기념비의 내용을 수정했으니, 이제 다른 기념비를 찾으러 가야겠습니다.
QUEST_LV_0400_20161212_000122	{nl}Tolong, ikuti aku.	{nl}저와 함께 가시죠.
QUEST_LV_0400_20161212_000123	Ini dia.{nl}Aku akan menghilangkan magic pada monumen ini.	여기 있군요. {nl}기념비에 걸린 변형 마법을 풀도록 하겠습니다.
QUEST_LV_0400_20161212_000124	Aku rasa spora dari pakis ini menyebabkan paralysis.{nl}Aku tidak bisa menghilangkan magic-nya dalam kondisi seperti ini.	여기 이 고사리들의 포자가 마비 증세를 일으키는 것 같습니다.{nl}마비 때문에 기념비의 변형 마법을 풀기 어렵습니다.
QUEST_LV_0400_20161212_000125	{nl}Kami harus menunggu untuk bisa kembali bergerak.	{nl}일단 이 마비 증세가 없어져야할텐데요..
QUEST_LV_0400_20161212_000126	{nl}Kamu dapat menemukan Mittelly Herbs didekat Ausne Lot.{nl}Mittelly Herbs dikenal bisa menyembuhkan masalah ini.	{nl}아우스네 공터 부근에 가면 미탤리 약초를 구할 수 있습니다.{nl}미탤리 약초는 모든 이상 증상을 완화시켜 준다고 하더군요.
QUEST_LV_0400_20161212_000127	Seharusnya terdapat cukup Mittelly Herbs didekat Ausne Lot.	미탤리 약초는 아우스테 공터 주변에 많습니다.
QUEST_LV_0400_20161212_000128	{nl}Aku minta maaf karena terlalu bergantung padamu yang telah membantu kami dengan sukarela...	{nl}돕겠다고 나서주신 분께 너무 의지하는 것 같아 죄송합니다..
QUEST_LV_0400_20161212_000129	Ada orang-orang yang sudah mulai menyangkal keberadaan goddess setelah mereka semua menghilang.{nl}Aku ingin membantu goddess membuat orang-orang percaya kembali.	여신이 모두 사라지신 이후, 여신의 존재를 부정하는 사람들까지 생겨났어요.{nl}전 그들에게 여신의 존재를 믿게 해 주고 싶었어요.
QUEST_LV_0400_20161212_000130	{nl}Namun...{nl}Aku kehilangan kepercayaan dari orang-orang... sebagai seorang narasumber...{nl}{nl}	{nl}그런데..{nl}오히려 제가 사람들에 대한 신뢰도 잃고.. 씨앗도 잃었죠..{nl}{nl}
QUEST_LV_0400_20161212_000131	Kali ini...{nl}Aku takut jika aku kehilangan semua keyakinan sebagai manusia...{nl}Itu bukanlah hal yang baik bagi seorang priest…	이러다간..{nl}사람을 모두 못 믿게 될 것 같아서 두려워요..{nl}사제가 이래서야..
QUEST_LV_0400_20161212_000132	Ah, ini terasa jauh lebih baik.{nl}Aku rasa itu belum sepenuhnya menyembuhkanku, tapi ini sudah cukup untuk membuatku bisa untuk menghilangkan magic.	오, 한결 나아졌습니다.{nl}완전하게 나은 것 같지는 않지만, 변형 마법을 풀 수 있을 정도는 된 것 같습니다.
QUEST_LV_0400_20161212_000133	Seluruh Vaivora's Koru mampu memberitahu kita bahwa Goddess Ausrine berada di tempat yang misterius.	아우슈리네 여신께서는 바이보라의 코루조차 답할 수 없는 신비의 영역에 계신다고 했어요.
QUEST_LV_0400_20161212_000134	Menurutmu akan terlihat seperti apa tempat misterius itu?{nl}Kita punya lebih banyak pertanyaan daripada jawabannya…	그렇다면 그 신비의 영역이란 어떤 곳이고 어떻게 생겼을까요? {nl}오히려 궁금 점만 더 생겼네요.
QUEST_LV_0400_20161212_000135	Goddess Lada dikatakan berada di Seir Rainforest.{nl}Tempat terdekat sepertinya Arcus Forest.	라다여신께서는 세이르 숲에 계신다고 했어요.{nl}그나마 아르커스 숲에서 제일 가까운 곳에 계신 거예요.
QUEST_LV_0400_20161212_000136	Aku rasa aku bisa bertemu dengannya jika aku pergi ke Seir Rainforest?	제가 세이르 숲으로 간다면 라다 여신을 만나 뵐 수 있는거겠죠?
QUEST_LV_0400_20161212_000137	Maukah kamu berbaik hati untuk menyingkirkan pakis dari Monument?{nl}Aku akan terparalyzed lagi jika kamu tidak menyingkirkannya.	기념비 주변의 고사리를 제거해주시겠습니까?{nl}그렇지 않으면 변형 마법을 해제하는 동안 또 마비증세가 올 테니까요.
QUEST_LV_0400_20161212_000138	{nl}Aku ragu bisa membakar karena kelembaban di daerah ini.{nl}Mungkin menggunakan skin of Vilkas dari Vilkas akan cukup untuk menyalakan api dan membakarnya.	{nl}그런데 이 주변은 습기가 많아서.. 그냥 타지는 않을 겁니다.{nl}빌카스의 바짝 마른 피부를 구해다가 불쏘시개로 쓰는 것이 좋겠습니다.
QUEST_LV_0400_20161212_000139	Jika wabah buruk dibelakang menyerang sekali lagi, orang-orang di Kiren Province tidak akan bisa bertahan.	병이 또 다시 창궐하게 된다면 키렌지방에 있는 사람들은 속수무책이죠.
QUEST_LV_0400_20161212_000140	Aku bahkan tidak membayangkan disana akan ada tanaman pakis dengan paralyzing spores.{nl}Terima kasih banyak telah membantuku.	마비 증세를 일으키는 고사리가 있을 거란 생각은 못했습니다.{nl}이렇게 또 여행자님께 신세를 지네요.
QUEST_LV_0400_20161212_000141	{nl}Namun... aku tidak bisa membayangkan jika kamu hanyalah seorang traveler biasa.	{nl}그런데.. 아무리 봐도 보통 여행자님은 아니신 듯 합니다.
QUEST_LV_0400_20161212_000142	Aku lihat semua tanaman pakis telah terbakar.{nl}Aku akan menghilangkan magic di Monument.	고사리들이 다 탔군요.{nl}이제 제가 기념비에 걸려있는 변형 마법을 풀도록 하겠습니다.
QUEST_LV_0400_20161212_000143	Hmmm... Aku sudah memeriksa Monumentnya, tetapi tampaknya yang satu ini tidak perlu koreksi.	흠.. 기념비를 확인해봤는데 이 기념비를 수정할 필요는 없을 거 같습니다.
QUEST_LV_0400_20161212_000144	Ah, kamu telah mengumpulkan cukup banyak.{nl}Aku yakin, ini akan bisa membakarnya bahkan dengan kelembaban seperti ini.	오, 많이 구해오셨군요.{nl}그 정도면 이렇게 습해도 잘 탈 겁니다.
QUEST_LV_0400_20161212_000145	Paralysis tampaknya belum membaik.{nl}Apa yang harus aku lakukan...?	그럼 이제 다음 기념비를 찾아야 하는데 마비 증세가 완전히 가시질 않네요.{nl}어쩌지..
QUEST_LV_0400_20161212_000146	Terima kasih banyak.{nl}Aku akan memberikan detektor yang membantuku untuk menemukan Monumen.{nl}Yang perlu kamu lakukan adalah menggunakannya di dekat objek yang kamu rasa mungkin sebuah Monument.	정말 감사합니다. {nl}그럼, 기념비를 탐지할 수 있는 탐지 장치를 드리겠습니다.{nl}기념비라 추정되는 물체 근처에 가서 탐지 장치를 사용하면 됩니다.
QUEST_LV_0400_20161212_000147	Gunakan detektor didekat apa pun yang kamu rasa mungkin sebuah Monument.{nl}Detektor akan memberitahumu jika itu adalah Monument dengan menciptakan lingkaran di sekelilingnya.	기념비로 추정되는 물체 근처에 가서 탐지 장치를 사용하십시오.{nl}만일 탐지 장치가 기념비라 판단하면 주변에 둥근 원이 생기면서 기념비임을 알릴 겁니다.
QUEST_LV_0400_20161212_000148	Kamu telah menemukan Monument.{nl}Aku rasa aku bisa bergerak sekarang, jadi ayo kita pergi ke sana.	기념비를 찾으셨군요.{nl}저도 이제 마비 증세가 많이 좋아졌으니, 함께 그 곳으로 가시죠.
QUEST_LV_0400_20161212_000149	Saya telah menghilangkan sihirnya, periksa apa yang tertulis pada Monumen.{nl}namun sulit untuk dilihat karena keadaan nya yang sudah rusak parah.	오시는 동안 기념비에 걸려있는 변형 마법을 풀고 기념비를 확인했습니다.{nl}기념비가 많이 훼손돼 내용을 정확하게 파악하는데 어려움이 있습니다.
QUEST_LV_0400_20161212_000150	Mungkin ada fragments disekitar sini.{nl}Bisakau kamu periksa disekitar sini?	주변에 기념비 파편들이 있지 않을까 싶습니다.{nl}주변을 확인해주십시오.
QUEST_LV_0400_20161212_000151	Seharus nya ada fragmen disekitar Monument.	주변에 기념비 파편들이 있을 겁니다.
QUEST_LV_0400_20161212_000152	Ah, aku lihat kamu sudah mengumpulkan cukup banyak fragments.{nl}Coba saya periksa.	오, 부서진 파편들이 꽤 많았군요.{nl}제가 확인해 보겠습니다.
QUEST_LV_0400_20161212_000153	Aku sudah memeriksa semua fragment yang kamu bawa.{nl}Ada beberapa yang misinformasi, jadi berikan aku waktu sebentar untuk mengkoreksi nya.	가져오신 기념비 파편들을 통해서 내용을 정확하게 확인했습니다. {nl}왜곡된 내용이 있으니 잠시, 수정 작업을 하겠습니다.
QUEST_LV_0400_20161212_000154	Priest Kidas	사제 키다스
QUEST_LV_0400_20161212_000155	Apakah kamu datang sejauh ini untuk membantu?{nl}Semoga kamu diberkati oleh Goddesses.	여기까지 도와주러 오신 겁니까..{nl}정말 감사합니다.
QUEST_LV_0400_20161212_000156	{nl}Memeriksa isi dari Monument ini akan sedikit sulit.{nl}Seperti yang kamu bisa lihat, banyak akar pohon yang mengelilingi nya.	{nl}그런데, 여기 기념비는 확인하기가 어렵습니다.{nl}보시다시피 기념비 주변으로 억센 나무줄기가 있기 때문입니다.
QUEST_LV_0400_20161212_000157	{nl}Brunas dan aku mencoba menyingkirkan semak belukar disini, namun kita tidak menemukan alat yang bisa digunakan.	{nl}그래서 저와 브루나스가 제초 작업을 하려고 했지만, 제초제의 재료를 구하는 일이 쉽지 않습니다.
QUEST_LV_0400_20161212_000158	{nl}Kita akan menggunakan Vilkas Salivary Glands karena memiliki sifat abrasif yang kuat, namun mendapatkan nya akan jadi masalah karena mereka tidak akan memberikan nya dengan mudah kepada kita.	{nl}일단 강한 부식성을 가진 빌카스의 침샘을 구해야 하는데, 공격성이 너무 강해서..
QUEST_LV_0400_20161212_000159	Membuat mereka memberikan salivary glands kepada kita cukup sulit...{nl}Kita harus menunggu sampai mereka menjadi lemah setelah kita menyerang mereka.	사실 빌카스의 침샘을 얻는 방법도 꽤 까다로워서..{nl}일단, 빌카스들을 공격해서 약해진 틈을 노려야 합니다.
QUEST_LV_0400_20161212_000160	{nl}Kamu harus memberi makan mereka Mytiharyn Grass ketika mereka lemah. Ini akan membuat mereka mengeluarkan abrasive saliva.{nl}Kamu harus menghabisi mereka dan mendapatkan salivary glands.	{nl}빌카스들의 체력이 많이 약해졌을 때, 미티하린 초를 먹이면 부식성을 가진 침을 생성하기 시작합니다.{nl}이 때 빌카스들을 해치운 뒤 침샘을 얻는 겁니다.
QUEST_LV_0400_20161212_000161	Tentu saja mereka akan menyerangmu dan menolak diberimakan Mytiharyn Grass, jadi tolong berhati-hati.	놈들이 미티하린 풀을 거부하고 공격을 할 수도 있으니 조심하셔야 합니다.
QUEST_LV_0400_20161212_000162	Salivary glands yang kamu bawa seharusnya cukup.{nl}Namun...	빌카스의 침샘은 구해오신 정도면 충분합니다.{nl}그런데..
QUEST_LV_0400_20161212_000163	Kita butuh air untuk mencairkan racun dari salivary glands yang kamu bawa.{nl}Brunas pergi ke Putas Lot untuk mengambil air, namun belum juga kembali...	빌카스의 침샘에서 뽑은 독을 희석시킬 물이 있어야 하는데..{nl}그걸 구하러 푸타스 공터로 간 브루나스가 소식이 없어서 걱정입니다.
QUEST_LV_0400_20161212_000164	Aku harap tidak terjadi apa-apa...	별 일이 없어야 할 텐데..
QUEST_LV_0400_20161212_000165	Priest Brunas	사제 브루나스
QUEST_LV_0400_20161212_000166	Terimakasih. Kamu menyelamatkan nyawaku.{nl}Ah, kamu mengumpulkan semua salivary glands yang dibutuhkan?	덕분에 살았습니다.{nl}오, 빌카스의 침샘은 다 구했다고요?
QUEST_LV_0400_20161212_000167	{nl}Kita akan bisa menyingkirkan semak belukar setelah aku mengambil air.{nl}Aku aka segera kembali ke Kidas.	{nl}이제 제가 여기서 떠 놓은 이 물만 있으면 제초제가 완성되는 거군요!{nl}그럼 키다스에게 돌아가겠습니다!
QUEST_LV_0400_20161212_000168	Aku dengar kamu cukup banyak membantu Kidas dan Brunas.{nl}Terimakasih mengijinkan kami menyelesaikan pekerjaan. Telah terhenti untuk waktu yang lama.	키다스와 브루나스의 일을 많이 도와주셨다고 들었습니다.{nl}진전이 없던 저희 일을 이렇게, 마무리 할 수 있도록 도와 주셔서 감사합니다.
QUEST_LV_0400_20161212_000169	{nl}Aku tau aku benar bahwa kamu bukanlah pengembara yang biasa-biasa saja.	{nl}역시, 제가 생각한대로 평범한 분은 아니신 것 같습니다.
QUEST_LV_0400_20161212_000170	{nl}Siapapun anda sesungguh nya, semoga kamu diberkati oleh Goddesses.	{nl}어쨌든, 앞으로 가시는 길에 여신의 가호가 있을  것입니다.
QUEST_LV_0400_20161212_000171	Kami berencana menerbitkan buku dengan koreksi dibuat untuk Monumen ini agar banyak orang yang mengetahui mengenai kebenaran.	저희는 이 기념비의 수정된 내용을 많은 사람들이 볼 수 있도록 책으로 정리할 생각입니다.
QUEST_LV_0400_20161212_000172	{nl}Tolong postikan untuk melihat buku tersebut jika kamu ada kesempatan.{nl}Terimakasih atas pertolonganmu kepada kami.	{nl}여유가 되시면 저희가 정리한 책도 한 번 봐 주세요.{nl}여러 가지 도움을 주셔서 정말 감사합니다.
QUEST_LV_0400_20161212_000173	Ini adalah area dimana wabah yang menyebabkan demam pada orang-orang sebelum membawa mereka kepada kematian.{nl}Sudah sedikit tenang saat ini, namun kita tidak tahu kapan akan menjadi buruk kembali.	이 곳은 열이 심하게 오르다가 끝내 사망에 이르게 되는 병이 창궐했던 지역입니다.{nl}지금은 소강상태이긴 하지만, 언제 다시 창궐할 지 알 수 없습니다.
QUEST_LV_0400_20161212_000174	{nl}Aku sedang melakukan penelitian wabah tersebut.	{nl}저는 그 병을 연구하고 있습니다.
QUEST_LV_0400_20161212_000175	Aku mungkin akan tewas sebelum mendapatkan cara penyembuhan jika kamu tidak membantuku.	당신이 도와주지 않았다면 치료제를 개발하기는 커녕 전 병으로 죽었을지도 몰라요.
QUEST_LV_0400_20161212_000176	Aku akan mengirimkan obat penyembuh ke Plague Doctor Master ketika sudah selesai.{nl}Aku akan coba menguatkan nya.	개발한 치료제는 플레이그 닥터 마스터 님에게 보낼 거예요.{nl}후에 여러 가지 상황을 놓고 실험을 하면서 치료제를 강화시키려고 합니다.
QUEST_LV_0400_20161212_000177	Pergi dan lihat bagaimana Woognis di Vilkas Nest.	빌카스의 서식지로 가 우그니스의 수색 상황을 살펴야겠다.
QUEST_LV_0400_20161212_000178	Sesuatu pasti terjadi pada Priest Lintas ketika menonaktifkan magic dari monument. Dekati dia untuk melihat apa yang terjadi.	변형 마법을 풀던 린타스의 상태가 이상합니다. 다가가 무슨 일인지 확인해보세요.
QUEST_LV_0400_20161212_000179	Kidas telah menyingkirkan semak belukar dari Monument dan sedang memeriksa nya.{nl}Tampak nya butuh waktu lama dari yang dikira.	키다스가 억센 풀을 제거하고 기념비를 확인하고 있다.{nl}꽤 작업이 길어지고 있다.
QUEST_LV_0400_20161212_000180	Kamu telah kembali.{nl}Aku dengar kamu menyelamatkan Brunas dari monster.	오셨군요.{nl}몬스터에게 당할 뻔한 브루나스를 구해주셨다고 들었습니다.
QUEST_LV_0400_20161212_000181	{nl}Aku bertrimakasih karena membantu kami mengumpulkan semua bahan dan menyelamatkan Brunas.{nl}Kamu selesai membersihkan racun saat kamu datang kembali.	{nl}여행자님 덕분에 재료를 모두 구하고, 브루나스도 무사히 돌아오게 되어 정말 감사합니다.{nl}오시는 동안 저희가 빌카스의 침샘을 물에 희석해서 제초제를 만들었습니다.
QUEST_LV_0400_20161212_000182	{nl}Kami akan memperbaiki kesalahan informasi pada Monumen setelah membersihkan semak belukuar.	{nl}제초제를 쓴 뒤 기념비를 확인하고 왜곡된 내용이 있으면 내용을 수정할 겁니다.
QUEST_LV_0400_20161212_000183	Ada informasi yang salah pada Monumen, jadi kita akan perbaiki.{nl}Kita akan kembali ke Lintas dan melaporkan keberhasilan kita.	예상대로, 기념비에 왜곡된 내용이 있어 수정을 했습니다.{nl}이제 린타스에게로 돌아가서 기념비를 모두 수정했다고 보고할 예정입니다.
