QUEST_20150317_000001	Pilih user untuk memodifikasi quest.	퀘스트 수정이 필요한 유저를 선택해주세요.
QUEST_20150317_000146	Class Archer mengutamakan Strength.  {nl} Namun agility juga sangat penting.  {nl} Pikirkan dengan baik jalan mana yang akan kamu tuju.  {nl}	궁수 계열이라면 역시 힘이죠.{nl}하지만 민첩한 몸놀림을 빼 놓을 순 없겠지만요.{nl}앞으로 무엇이 될 지 먼저 따져보는게 좋을 겁니다.{nl}
QUEST_20150317_000147	Class Cleric mengutamakan Intelligence.  {nl} Tapi kamu juga butuh strength atau juga spirit.  {nl} Perkirakan kamu ingin memilih role yang seperti apa nanti.  {nl}	성직자 계열이라면 역시 지능이죠.{nl}하지만 강한 힘이나 정신력이 필요할 수도 있어요.{nl}앞으로 무엇이 될 지 먼저 따져보는게 좋을 거예요.{nl}
QUEST_20150317_000148	Doppelsoldner Master	도펠죌트너 마스터
QUEST_20150317_000149	Resiko besar, Keuntungan besar. {nl}Jika kamu menginginkan keuntungan yang besar, berarti kamu harus mengambil resiko yang besar.	위험한 일일수록 가치 있는 경우가 많지.{nl}높은 보수를 원한다면 당연히 그만한 위험을 감당해야 할 줄도 알아야 하고.
QUEST_20150317_000150	Corsair Master	커세어 마스터
QUEST_20150317_000151	Aku tidak perlu menolong orang lain jika tidak mendapatkan keuntungan.	나에게 도움이 되는 일이 없다면 굳이 남을 돕는 고생을 할 필요는 없지.
QUEST_20150317_000152	Batu Besar	바위
QUEST_20150317_000153	Tertutup oleh batu yang besar..	커다란 바위로 막혀있다..
QUEST_20150317_000154	Perlu diperbaiki..	망가져 수리가 필요하다..
QUEST_20150317_000155	Tertutup oleh batu besar..	바위로 막혀있다..
QUEST_20150317_000156	Magical Research Material	마법 연구 자료
QUEST_20150317_000157	Sepertinya itu adalah bahan penelitian magic dari magician di Mage Tower. {nl}Haruskah aku salin?	마법사의 탑에 있던 어느 마법사가 쓴 듯한 연구 자료가 보인다.{nl}베껴갈까?
QUEST_20150317_000158	Bersembunyi dan menyusup bukanlah segalanya. {nl}Kemampuan bertempur juga dibutuhkan Scouts.	은신과 잠입에만 능하다고 만사가 아냐.{nl}전투기술도 갖추고 있어야 진정한 스카우트지.
QUEST_20150317_000159	Kamu membutuhkan berbagai perlengkapan saat bepergian. {nl}Akan lebih baik jika kamu membeli dan mempersiapkannya.	여행을 하다 보면 사소한 물건들이 아쉬울 때가 많지요. {nl}미리 충분히 사두는 것이 좋답니다.
QUEST_20150317_000160	Jika spell untuk mengendalikan magic berhenti, wahyu dari Goddess  tidak bisa di lindungi lagi.	제어 마법의 주문이 끊긴다면 더 이상 계시를 지킬 수 없다.
QUEST_20150317_000161	Unnamed Thief's Gravestone	이름 모를 도둑의 비석
QUEST_20150317_000162	Aku akan meninggalkan ukiran pada batu ini. {nl}Dengan segala martabatku sebagai thief yang terhebat aku akan menantang magician terkuat.	나 즈벡은 이 비문을 남긴다.{nl}최고의 도둑이라는 자부심을 걸고 역사상 가장 강력하다는 마법사에게 도전할 것이다.
QUEST_20150317_000163	Bisakah aku bilang, bahwa aku bisa sukses hanya dengan mencuri? {nl}Sepertinya aku bisa bilang, aku bisa sukses hanya karena mencuri dari magician terhebat. {nl}	하지만 이 내가 도둑질만 한다고 해서 성공이라 할 수 있을까?{nl}물론 위대한 대마법사를 상대로 그 정돈 훌륭한 성공이랄수도 있겠지.{nl}
QUEST_20150317_000164	Tapi, Aku tidak ingin seperti itu. {nl}Aku ingin menjadi thief terhebat sepanjang masa, tidak hanya terhebat dalam masa ini.	하지만 나는 아니다. {nl}나는 당대 최고가 아니라 역사 제일의 도둑이고자 한다.{nl}
QUEST_20150317_000165	Akhirnya, Aku menemukan cara untuk masuk ke Mage Tower. {nl}Itu adalah memusatkan kekuatan magic ke suatu tempat. {nl}Sekarang, aku hanya butuh menentukan langkah yang tepat.	드디어 마법사의 탑으로 들어갈 방법을 찾았다.{nl}그건 특정 장소에 마력을 응집하는 것.{nl}이제는 결행만이 남았다.
QUEST_20150317_000166	Nanti, perangkat khusus milliku akan menyala. {nl}Jika kamu mengikuti aku, kamu juga bisa masuk ke Mage Tower. {nl}	이제 곧 나의 특제 장치가 작동할 것이다.{nl}날 따라 한다면 그대도 마법사의 탑으로 들어갈 수는 있겠지.{nl}
QUEST_20150317_000167	Tentu saja, setelah itu, kamu harus berhadapan dengan magician yang bodoh. Haha!	물론 그 후에 멍청한 마법사들 같은 건 알아서 해야 할 것이다. 하하!
QUEST_20150317_000168	Commanding Monument	교훈의 비석
QUEST_20150317_000169	Aku membunuh thief yang masuk ke tower dan mencuri barang dengan api. {nl}Tapi, Aku meninggalkan batu nissan para thief untuk memperingatkan para penyusup. {nl} -Agailla Flurry-	남의 탑을 침입하고 남의 물건을 손댄 어리석은 도적을 불태워 죽였다.{nl}허나 그의 비석은 침입자에 대한 경고로써 남겨두는 바이다. {nl} -아가일라 플러리-
QUEST_20150317_000170	Demon Queen Gesti	마왕 제스티
QUEST_20150317_000171	Beraninya kamu manusia biasa..  {nl}	인간 주제에 감히 내게.. {nl}
QUEST_20150317_000172	Tunggu dan lihatlah. Ini belum selesai. {nl}Berdoa pada Laima agar menyelamatkan dunia.	두고 보아라. 아직 끝나지 않았으니까.{nl}라이마가 이 세계를 구하길 마음껏 빌어 보거라.
QUEST_20150317_000173	Klaipeda Officer	클라페다 안내병
QUEST_20150317_000174	Selamat Datang. Uska telah menunggu di Klaipeda middle square. {nl}Adakah sesuatu yang tidak kamu mengerti?	어서 오시죠. 우스카님이 클라페다 중앙 광장에서 기다리고 계십니다.{nl}참, 미처 숙지하지 못한 사항이 있으십니까?
QUEST_20150317_000175	Apa kamu ingin segera ke Klaipeda sekarang juga?  {nl} Pikirkan baik-baik.	클라페다 입구로 바로 이동하고 싶은 건가?{nl}잘 생각해 보게.
QUEST_20150317_000176	Temporary Operator	임시운영자
QUEST_20150317_000177	Silahkan ganti status karakter.	이 캐릭터의 상태값을 바꿔주세요
QUEST_20150317_000178	NPC HIDE/UNHIDE Setting!	NPC HIDE/UNHIDE설정!
QUEST_20150317_000179	Follower Algis	추종자 알기스
QUEST_20150317_000180	Waktunya sudah tiba dimana Goddess meramalkan tentang Paladin pertama. {nl}Oke, silahkan bertanya padaku.	여신께서 초대 팔라딘에게 예견하신 순간이 찾아왔군.{nl}자, 뭐든 물어 보려므나.
QUEST_20150317_000181	Dahulu kala, ada pengembara, yang terkena kutukan dan penyakit, berjalan di sekitar. {nl}Sang Paladin pertama menyembuhkan kutukan mereka dengan Divine Water.	아주 먼 옛날에 역병의 저주를 받은 유목민이 떠돌고 있었단다.{nl}초대 팔라딘님께서 그들의 저주를 치유의 성물로 끊어 주셨어.{nl}
QUEST_20150317_000182	Scouts adalah keturunan para pengembara. {nl}Tapi, fungsi utama dari Divine Water bukanlah untuk menyembuhkan orang itu.	파수꾼들이 바로 그 유목민들의 후예이지.{nl}하지만 성물의 본래 목적은 치유가 아니야.{nl}{nl}
QUEST_20150317_000183	Suatu hari, Sang Goddess meminta kepada Paladin pertama untuk menjaga wahyu. {nl}Saat dia berpikir bagaimana cara menyembunyikannya, para pengembara yang terkutuk mulai muncul. {nl}	어느 날, 여신께선 초대 팔라딘에게 계시를 부탁하셨지.{nl}이걸 어떻게 감출까 고민하던 차에 나타난 게 저주받은 유목민이였어.{nl}
QUEST_20150317_000184	Sang Paladin pertama berjanji untuk menghentikan kutukan itu kepada ketiga pengembara. {nl}	초대 팔라딘님께선 저주를 끊어 주는 조건으로 세 가지 맹약을 내거셨지.{nl}
QUEST_20150317_000185	Untuk membangun Tenet Church bersama.  {nl}Untuk menyembunyikan Divine Water di tanah ini dan menyimpannya. {nl}Untuk bertempur bersama saat terjadi krisis di tanah ini. {nl}	테넷 성당을 함께 지을 것. {nl}치유의 성물을 이 땅에 감춰 두고 성스럽게 모실 것.{nl}이 땅에 위험이 닥칠 때 함께 힘을 모아 싸울 것.{nl}
QUEST_20150317_000186	Semua ini dilakukan untuk melindungi wahyu yang tersimpan di Tenet Cathedral Shrine.	이게 다 테넷 성당의 성소에 감춰져 있는 계시를 지키기 위한 거란다.
QUEST_20150317_000187	Divine Water diciptakan untuk melindungi wahyu. {nl}Dibuat untuk menarik perhatian Demon Queen dan menghancurkannya. {nl}	치유의 성물은 본디 계시를 지키려고 만들어진 거란다.{nl}이걸로 마왕을 유인해서 해치우는 것이지.{nl}
QUEST_20150317_000188	Selalu ada kata jika. {nl}Jika strategi ini gagal, dan tidak dapat dihindari pertempuran final akan terjadi di Chapel.	하지만 모든 건 만약이라는 게 있기 마련이거든.{nl}이 작전이 실패한다면 최후의 결전이 벌어질 장소는 아마 테넷 성당이 될 게야.
QUEST_20150317_000189	Pawndel	폰델
QUEST_20150317_000190	Ada apa?	무슨 일인데?
QUEST_20150317_000191	Benarkah?	정말?
QUEST_20150317_000192	Pawnd	폰드
QUEST_20150317_000193	Apa yang terjadi?	무슨 일이야?
QUEST_20150317_000194	Gesti bilang kepada kita untuk melindungi tempat ini.	제스티님이 여기 지키라고 하셨어..
QUEST_20150317_000195	Jadi apa yang harus kita lakukan sekarang?	이제 뭘 해야하지?
QUEST_20150317_000196	Apakah ini tempat yang benar?	여기가 맞아?
QUEST_20150317_000197	Explaining	설명 중
QUEST_20150317_000198	Aku memberitahu bagian dari wahyu yang aku dapatkan di Crystal Mine.	수정광산에서 얻은 계시의 내용의 일부를 알려주었다
QUEST_20150317_000199	Aku tidak tahu seberapa hebat kamu di luar sana  {nl}tapi di sini, kamu harus mengikuti peraturan dari kerajaan.  {nl}Sama seperti Kalis Knights. Kami adalah hukum di sini	당신의 과거행적이 얼마나 빛나는지 모르겠습니다만 여기선 왕국군의 통제를 따라 주셔야합니다.{nl}칼리스 기사단도 마찬가지 입니다. 여기선 왕령에 따라 우리가 곧 법입니다.
QUEST_20150317_000200	Grave Thief Juvertas	도굴꾼 후베르타스
QUEST_20150317_000201	Sepertinya aku bisa gila jika tinggal di tempat yang hancur ini selama beberapa hari. {nl}Kenapa dia belum juga datang!	이런 황폐한 곳에서 며칠씩 기다리고 있으려니 내가 미쳐가는 게 느껴져.{nl}형님은 대체 왜 안 오시는 거야!
QUEST_20150317_000202	Thief Benjaminas	도굴꾼 벤자미나스
QUEST_20150317_000203	Kami ingin menyebut diri kami sebagai archeologists, tapi semua orang menyebut kami pencuri. {nl}Memanfaatkan object yang tidak dimiliki oleh seorangpun adalah sesuatu yang sangat berharga. {nl}Itu lebih baik daripada membiarkannya di sini hingga rusak dan membusuk.	우린 스스로를 고고학자라고 부르고 싶어하지만 다들 도굴꾼이라고 하지요.{nl}주인없는 물건들이 제가치를 찾을 수 있는 곳으로 옮겨주는 일은 어쩔땐 여신을 대변하기까지 합니다.{nl}누구에게나 여기 이렇게 굳어서 풍화되어 사라져가는 것보단 훨씬 나을 거에요.
QUEST_20150317_000204	A Citizen's Journal	어느 시민의 일기
QUEST_20150317_000205	Waktu telah berlalu 1 tahun setelah Perang sipil terjadi. harga barang di kota naik sungguh banyak. Jendral Ruklys mengatakan akan mendistribusikan persediaan yang dibutuhkan ke kota yang kekurangan. Tetapi Raja Kardumel yang mendengar berita baik ini, bermaksud mengincar Jendral Ruklys dan beredar kabar bahwa ia bermaksud pulang ke rumah, dan membuat keadaan dari orang-orang di sekitar menjadi tidak baik.	내전이 발발한 지 1년이란 시간이 지났다. 도시의 물가가 무척 올랐다. 루클리스 장군께서는 병참물자를 내놓아 부족한 도시의 물자를 보충한다고 한다. 그러나 모처럼 좋은 소식에도 카듀멜 국왕이 루클리스 장군을 노리고 친정을 하려 한다는 소문이 돌아서 사람들의 분위기는 그다지 좋지 않다.
QUEST_20150317_000206	A Sentry's Report	어느 파수병의 일지
QUEST_20150317_000207	Raja Kardumel sambil mengontrol kerajaan, juga memperkuat penjagaan dari Post karena kondisi peperangan semakin kritis. Adalah benar Kardumel yang inkompeten memimpin banyak pasukan datang. Tetapi jika Jendral Hayatin memimpin pasukan bantuan datang, maka Kardumel akan menyerah atau melarikan diri.	카듀멜 국왕이 친정하면서 전황이 급박해져 초소의 경비가 더 강화되었다. 무능한 카듀멜이 많은 병력을 이끌고 온 것은 사실이지만. 하야틴 장군께서 지원병을 이끌고 오신다면 카듀멜은 항복하거나 도망치게 될 것이다.
QUEST_20150317_000208	A Trader's Log	어느 상인의 일기
QUEST_20150317_000209	Makanan dan supply di kota hampir habis. (Sisanya tidak dapat dibaca)	도시에 식량과 물자가 바닥나고 있다. (이하는 판독불능)
QUEST_20150317_000210	Ada rumor bahwa General Ruklys sedang bernegosiasi dengan King Kadumel demi keamanan penduduk.	시민들이 겪는 고난이 심하다는 보고를 듣고 루클리스 장군께서 시민의 안전을 조건으로 카듀멜과 협상을 한다는 소문이 들린다. 
QUEST_20150317_000211	An Officer's Record	어느 장교의 기록
QUEST_20150317_000212	Perdana menteri Premier Eminenat, katanya telah menanggapi negosiasi dengan Jendral Ruklys. Sesuai dengan negosiasi, maka kami semua bergerak ke Earth Castle, terdengar kabar bahwaKota akan diserahkan kepada pasukan raja. Jika memikirkan penduduk biasa mungkin juga bisa menjadi sesuatu yang baik untuk mereka. Untuk kota mungkin dapat dimengerti, tetapi menyerahkan Earth Castle sepertinya tidak akan terjadi dengan mudah begitu saja.	재상인 프리미어 에미넌트가 루클리스 장군과 협상에 응했다고 한다. 협상에 따라 우리는 대지의 요새로 전부 이동하고 도시는 왕실군에게 내어줄 것이란 말이 들린다. 시민들을 생각하면 어쩌면 잘 된 일일 수도 있다. 도시는 양보했지만, 대지의 요새는 적에게 간단히 내줄 만큼 약한 곳이 아니다.
QUEST_20150317_000213	Raja Kardumel sedang bersikeras untuk menghukum warga penduduk kota. Perdana Menteri Eminent dengan mudah menghentikan hal itu, dan sesuai dengan isi negosiasi dengan Jendral Ruklys, bahwa ia berusaha untuk menjamin keamanan kota. Pasukan tentara raja yang menguasai kota pun, tidak melakukan tindakan apapun yang mengancam.	카듀멜 국왕이 도시민들을 처벌하라고 고집을 부린다고 한다. 재상인 에미넌트가 그것을 간신히 말리고 루클리스 장군과 협상한 내용대로 도시의 안전을 보장하느라 애쓰고 있다고 한다. 도시를 점령한 왕실군대도 일단은 크게 위협적인 행동을 하지는 않고 있다.
QUEST_20150317_000214	Kita harus tetap di sini hingga Kostas datang. {nl}Banyak hal yang harus dilakukan, semoga saja mereka cepat datang ke sini.	코스타스님이 오실 때까지 여기 이러고 있어야 합니다. {nl}안 그래도 할일이 많은데 빨리 좀 돌아오시면 좋겠어요.
QUEST_20150317_000215	Cryomancer Kostas	크리오맨서 코스타스
QUEST_20150317_000216	Jika kita dapat menemukan Symbol of Silk, semua akan baik-baik saja. {nl}Kita dapat membangun kota kembali.	실크의 징표만 다시 되찾는다면 모든 걸 해결할 수 있네.{nl}도시를 되돌릴 수 있다는 말이지.
QUEST_20150317_000217	Graverobber Rudolpas	도굴꾼 루돌파스
QUEST_20150317_000218	Pasukan Kerajaan dan Knights of Kaliss...Sepertinya, kita menemukan emas. {nl}Tidak ada seorang pun di sini..kita bisa menyebut daerah ini rumah.	왕국군과 칼리스 기사단, 우리 도굴꾼들이 절묘한 균형을 이룬다고 생각해{nl}그나마 사람들이 돌아다닐 수 있는 거지.. 그 전엔 잠시도 있을 곳이 못 됐지.
QUEST_20150317_000219	A Royal Officer's Record	왕국군 장교의 기록
QUEST_20150317_000220	Grup Ruklys setelah mundur dari Earth Castle, berada dalam kondisi tidak ada pergerakan lebih jauh. Para priest yang mendapat pengaruh dari Myvern, bertindak pasif dalam peperangan, sehingga raja mengeluarkan uang banyak untuk merekrut para penyihir,  dan berusaha keras untuk mengubah posisi peperangan, tetapi terasa mereka tidak membawa kemajuan apapun dalam peperangan.	루클리스 일당이 대지의 요새로 후퇴한 후로 더 이상의 진전이 없는 상황이다. 메이번의 입김을 받은 성직자들이 참전에 소극적이자 국왕께서는 마법사들을 거액을 들여 고용하여 전세를 바꾸려 노력중이나 그들의 참전에도 별다른 진전은 없을 것이란 예감이 든다.
QUEST_20150317_000221	Townsperson's Document	도시 주민의 기록
