QUEST_LV_0200_20150317_000001	Philip's Soldiers	필리파스 직속 부대원
QUEST_LV_0200_20150317_000121	Scott dan Fray bekerja dengan baik. Bagaimana menurutmu?{nl}Kurasa Vubbe tidak bisa menciptakannya sendiri.{nl}Aku harus memeriksa apa yang mereka lakukan dengan ini.{nl}	프레이와 스캇이 열심히도 뛰어 줬군. 네가 보기엔 어때? {nl}난 이런 걸 부베들이 만들 수 있을 리 없다고 생각해.{nl}이 나무껍질로 무엇을 하려는지 천천히 조사해 봐야겠어.{nl}
QUEST_LV_0200_20150317_000122	Mungkin ada sesuatu di dalam Supply Box yang ditinggalkan oleh para prajurit dahulu kala. {nl} Kamu dapat menemukan Old Supply Box diatas sana. {nl} Dapatkah Kamu pergi kesana dan memeriksanya? Jika kita dapat menemukan beberapa petunjuk di sana, kita bisa mendapatkan jawabannya.	아마 예전에 병사들이 남겨 두고 간 보급품 상자 안에 뭔가 있을지도 몰라.{nl}저 위쪽으로 가면 오래된 보급품 상자들이 있어.{nl}한 번 가 봐 줄래? 거기서 얻은 단서들까지 합하면 뭔가 그럴싸한 결론이 날 것 같아.
QUEST_LV_0200_20150317_000123	Jika Kamu kembali ke arah yang telah kamu lalui sebelumnya, Kamu akan melihat sebuah Observatory Tower di area Perbukitan. {nl} Semoga Monster belum menguasai tempat tersebut..	왔던 길을 조금 되돌아가 보면 언덕 위에 감시탑이 있을 거야.{nl}아직 몬스터가 손대지 않았으면 좋겠는데..
QUEST_LV_0200_20150317_000124	Apa mereka sedang merencanakan sesuatu?{nl}Sepertinya.. Mencurigakan..	정말 이놈들이 무언가 꾸미고 있는 걸까?{nl}이거이거.. 냄새가 나, 냄새가..
QUEST_LV_0200_20150317_000125	Para Vubbe merusak Supply Box dan lari membawanya? {nl} Mengapa? Apakah mereka yang telah melakukannya? {nl} Ini tidak mungkin, mereka tidak cukup pintar untuk melakukan hal itu. {nl}	부베들이 보급품 상자를 부수고 이걸 들고 도망갔었다고?{nl}왜지? 설마 이놈들이 진짜 그걸 만들고 있었던 건가?{nl}아니야, 에이 설마, 부베들은 그럴만한 지능이 없어.{nl}
QUEST_LV_0200_20150317_000126	Bagus! Kita harus tetap fokus dan memecahkan masalahnya!	좋아! 정신 차리고 확실히 파헤치는 거야!
QUEST_LV_0200_20150317_000127	Oke. Apa kamu siap?{nl}	좋아. 각오는 되어 있겠지?{nl}
QUEST_LV_0200_20150317_000128	Sebelum Kamu datang, Aku melihat sekelompok Vubbe. {nl} Pergilah ke Gebene Cliffs dan lihatlah situasi disekitarnya.	네가 오기 전에 부베들이 여기저기로 우르르 몰려가는 걸 봤어.{nl}게베네 절벽으로 가서 동태를 살피고 와줘. 
QUEST_LV_0200_20150317_000129	Vubbes selalu terlibat apapun yang terjadi di sini. {nl} Hal ini tidak mungkin terjadi secara kebetulan.	여기서 일어난 일들의 끝에는 언제나 부베가 있었어.{nl}우연치곤 아주 완벽한 이야기지..
QUEST_LV_0200_20150317_000130	Aku rasa.. Aku mengerti sekarang. {nl} kupikir itu seperti sebuah pabrik besar untuk menciptakan monster besar yang disebut Woodspirits. {nl}	이런, 설마.. 드디어 모든 게 다 짜 맞춰지는군. {nl}그건 아마 우드스피릿이라는 거대 몬스터를 만들어 내는 공장 같은 거였을지도 모르겠어.{nl}
QUEST_LV_0200_20150317_000131	Vubbe Flag pasti telah memanggil Ghost. {nl} Kemudian mereka mencemarkan pepohonan dan menciptakan Monster besar. {nl}	부베들의 깃발이 유령을 불러들였겠지.{nl}그렇게 모인 유령들이 나무를 오염시켜 거대 몬스터를 만들었던 거고.{nl}
QUEST_LV_0200_20150317_000132	Bark Tree itu sebagai bahan-bahan untuk membuat Woodspirits. {nl} Tidak mungkin para Vubbe bisa melakukannya sendiri disana. {nl} Mereka pasti menerima perintah dari seseorang!	그 나무껍질은 분명 우드스피릿을 만드는 재료였을 거야.{nl}이건 절대로 부베들이 저지를 수준이 아니라고.{nl}누군가의 사주를 받은 분명해!
QUEST_LV_0200_20150317_000133	Kita mungkin dapat menemukan beberapa bukti yang berharga di tempat Vubbe yang berkumpul secara bersamaan. {nl} Jika Prey melihat ini, ia pasti akan menyukainya!	부베들이 몰려 있는 곳에서 뭔가 결정적인걸 발견할 수 있을지도 몰라.{nl}프레이가 보면 좋다고 할 광경이겠군!
QUEST_LV_0200_20150317_000134	Vubbes tidaklah begitu pintar sehingga mereka harus membuat perintah yang mudah dipahami. {nl} Bagaimana bisa dia berpikir untuk mengendalikan Vubbes.. {nl} Aku tidak tahu harus berkata apa. {nl}	부베들은 똑똑하지 못하니까 아마 아주 간단한 명령만 내렸을 거야.{nl}부베를 부려 먹을 생각을 하다니.. {nl}진짜 난 어이가 없어서 말도 안 나온다. {nl}
QUEST_LV_0200_20150317_000135	Aku yakin bahwa Woodspirits dibuat di berbagai tempat. {nl} Aku bisa merasakan energi jahat yang datang. {nl} Pertama kita harus menghancurkan Flag yang menghasilkan Woodspirits!	우드스피릿은 분명 여러 곳에서 만들어지는 거 같아.{nl}사악한 기운이 몰리는 게 느껴지거든. {nl}우드스피릿을 만들어내는 깃발이라도 빨리 부숴야겠어!
QUEST_LV_0200_20150317_000136	Pergilah segera. {nl} Tindakan terbaik untuk saat ini adalah untuk menghentikan pembuatan Woodspirits.	준비가 끝나는 대로 바로 출발해. {nl}지금은 우드스피릿을 더 이상 만들지 못하도록 막는 게 급선무니까..
QUEST_LV_0200_20150317_000137	Kurasa kita telah melakukan hal yang terbaik untuk saat ini. {nl} Karena kita tidak bisa melakukan sesuatu kembali bila sudah tercipta.	우선 급한 불은 끈 것 같아. {nl}이미 만들어진 건 어쩔 수 없지만..
QUEST_LV_0200_20150317_000138	Aku bisa merasakan terdapat Flag berada  dekat dengan Gatves Highway. {nl} Pepohonan besar yang mereka lihat kemungkinan adalah Woodspirits. {nl} Bagaimana Aku bisa melewatkan hal yang sederhana ini.	여기서 가장 가까운 깃발은 갓베스 가도 근처에서 느껴져.{nl}사람들이 목격했다는 거대한 나무 같은 건 아마 우드스피릿을 말한 거겠지.{nl}이런 간단한 걸 짚어내지도 못하다니, 나도 아직 멀었군.
QUEST_LV_0200_20150317_000139	Earnest Owl Chief Sculpture	성실한 대장 부엉이 조각상
QUEST_LV_0200_20150317_000140	Terima kasih banyak. {nl} Para Owl lainnya pasti telah mendapatkan rasa kepecayaan diri mereka karenamu.	정말 고맙습니다. {nl}당신 덕분에 다른 부엉이들도 용기를 얻었을 겁니다.
QUEST_LV_0200_20150317_000141	Weak Owl Sculpture	약해진 부엉이 조각상
QUEST_LV_0200_20150317_000142	Ini sudah terlambat.. {nl} Goddess terkadang bisa berubah menjadi kejam ..	이미 늦고 말았군요.{nl}여신께선 참 가혹하세요.
QUEST_LV_0200_20150317_000143	Aku punya satu permintaan terakhir. {nl} Dapatkah kamu membakar para Owl sehingga mereka bisa beristirahat dengan tenang?	마지막 부탁이 있어요. {nl}떠나간 부엉이들을 불태워 편히 보내 주실 수 있을까요?
QUEST_LV_0200_20150317_000144	Apakah Kamu pikir teman-temanku bisa mencapai Goddess Ausrine dengan aman?	제 동료들이 아우슈리네 여신께 무사히 닿을 수 있을까요?
QUEST_LV_0200_20150317_000145	Terima kasih banyak. {nl} Pertama bawakan Aku Oil dari Oil Boxes dalam perjalanan menuju ke Neuoder Field.	정말 감사합니다.{nl}먼저 뉴오더 벌판으로 가는 길에 있는 기름 상자를 가져다 주세요.
QUEST_LV_0200_20150317_000146	Jika Kamu tidak keberatan dengan hal ini, Aku ingin meminta bantuan kembali darimu. {nl} Aku telah mengutus seseorang, namun karena serangan terakhir, Aku sekarang jadi mengkhawatirkannya. {nl}	괜찮다면 자네 힘을 좀 더 빌리고 싶네.{nl}전령을 보냈었는데 아까의 습격으로 왠지 걱정되거든.{nl}
QUEST_LV_0200_20150317_000147	Utusan tersebut seharusnya aman... tapi Aku masih mengkhawatirkannya.	전령이 무사해야 할 텐데.. 걱정이군.
QUEST_LV_0200_20150317_000148	Terima kasih banyak. {nl} Dia seharusnya berada disana sekarang.	정말 고맙군.{nl}지금쯤이면 우는 자리쯤에 있을 거야.
QUEST_LV_0200_20150317_000149	Squad telah dikirim untuk melindungi Kateen Forest dari para Monster. {nl} Pintu masuk menuju Kateen Forest sudah aman dibandingkan dengan area lainnya. Area lainnya belum berhasil dikuasai.	몬스터에게 빼앗긴 카틴 숲을 다시 되찾기 위해 병력이 배치되어 있네.{nl}여기 카틴 숲 입구는 그나마 안전한 편이지만 다른 곳은 아직도 수복 중이지.{nl}
QUEST_LV_0200_20150317_000150	Ketika berada di tempat yang sangat jauh, terdapat prajurit yang berada di sepanjang jalan yang mengalami kekurangan Supplies. {nl} Jika kamu sebagai orang baik, kamu dapat membantu mereka , Ini sangat membantu. {nl}	게다가 깊숙히 들어갈 수록 병력도 부족하고 보급도 열악하다고 들었다.{nl}자네처럼 이름있는 이들이 그들을 도와준다면 필히 큰 힘이 될 거야.{nl}
QUEST_LV_0200_20150317_000151	Fallen Messenger	쓰러진 전령
QUEST_LV_0200_20150317_000152	Ini salahku, karena beranggapan bahwa pintu masuk ke Kateen Forest lebih aman. {nl} Aku akan kembali ke Camp setelah beristirahat sebentar.	카틴 숲 입구가 안정되었다고 해서 방심한 제가 잘못입니다.{nl}조금만 쉬고, 캠프로 돌아갈 겁니다.
QUEST_LV_0200_20150317_000153	Ah, ini tasku.. terima kasih karena telah menyelamatkan Aku. {nl}	앗, 이건 제 가방.. 구해주셔서 정말 감사합니다.{nl}
QUEST_LV_0200_20150317_000154	Hanya kamu yang bisa membantuku saat ini. {nl} Bisakah kamu memberitahu Felix bahwa operasi di Peljeda Crossroads sudah dimulai? {nl} {nl}	염치없게도, 지금 절 도와 줄 수 있는 사람은 당신뿐이군요.{nl}펠례다 사거리의 필릭스님께 작전이 시작되었다고만 전해 주실 수 있을까요?{nl}{nl}
QUEST_LV_0200_20150317_000155	Ada banyak hal aneh di Kateen Forest yang tidak ada di hutan lainnya. {nl} Salah satunya seperti Wooden Owl Sculptures.	카틴 숲에는 다른 숲에서 볼 수 없는 것들이 많소.{nl}나무로 깎은 부엉이 상이라던가 하는 것들 말이오.
QUEST_LV_0200_20150317_000156	Operasi? Oh, dasar Utusan bodoh {nl}. Aku bisa mendapatkannya dari Camp.. Bagaimanapun juga Terima kasih. {nl}	작전? 거 참. 미련한 전령일세.{nl}캠프에서 다시 전해 받으면 될 것을.. 여튼 고맙소.{nl}
QUEST_LV_0200_20150317_000157	Oh, perjalanan kembali cukup gelap, sehingga akan lebih baik jika Kamu bisa menyalakan Bonfire kembali.	참, 돌아가는 길이 어두우니 꺼진 모닥불을 다시 켜 주면 정말 고맙겠어.
QUEST_LV_0200_20150317_000158	Kamu tidak dapat melihat sinar matahari di Kateen Forest karena banyaknya pohon-pohon besar. {nl} Nampaknya Ghosts bisa muncul setiap saat.	카틴 숲은 나무가 너무 울창해서 햇빛이 잘 안 들어.{nl}마치 유령이라도 나올 것 같지.
QUEST_LV_0200_20150317_000159	Oke, jadi utusan tersebut aman? {nl} Tempat ini sudah ditangani dengan baik, terima kasih untuk usahamu.	그래, 전령은 무사하던가?{nl}자네 덕분에 이쪽도 잘 정리되었네.
QUEST_LV_0200_20150317_000160	Aku akan istirahat sebentar di sini. {nl} Apakah terdapat tempat yang aman untuk bersembunyi?	전 여기서 좀 더 쉬어야겠습니다.{nl}어디 적당히 숨을 데 없을까.
QUEST_LV_0200_20150317_000161	Telah membiarkan Saltistter untuk masuk sejauh ini kebelakang garis pertahan kami, Aku harus memarahi orang yang bertugas menjaga tempat ini. {nl} Bagaimanapun terima kasih. Kamu memang sesuai dengan reputasi Kamu. {nl}	살티스터가 여기까지 기어들어 오다니, 나중에 경계 책임자를 불러 문책해야겠어.{nl}어쨌든 고맙네. 역시 명성대로더군.{nl}
QUEST_LV_0200_20150317_000162	Guard Rail	경비병 라일
QUEST_LV_0200_20150317_000163	Aku telah kehilangan banyak patner ketika melewati Stone Frosts. {nl} Aku tidak mengerti mengapa Aku ke sini untuk membantu Chronomancer pemula... jadi tidak efisien. {nl} Selain itu, kita tidak tahu kapan para monster yang kejam akan menyerang ke sini.	얼마 전 많은 동료들을 석화서리에 잃었습니다.{nl}그럼에도 골방에서 갓 나온 크로노맨서 한 명 지원하자고 이런 곳에 있다니.. 이런 비효율이 어딨습니까?{nl}게다가 사나운 몬스터들은 언제 돌변해서 여길 공격할지 모를 일입니다.
QUEST_LV_0200_20150317_000164	Jika Kamu tidak keberatan, bisakah Kamu menyingkirkan para monster disaat kita melindungi tempat ini?	당신이 괜찮다면 우리가 이곳을 지킬 동안 주변 몬스터들을 처치해주실 수 있겠습니까?
QUEST_LV_0200_20150317_000165	Sungguh disayangkan bila kita harus membantu wanita itu kali ini.	이런 시대에 저런 막무가내 여자를 돌봐줘야 한다는 건 불행한 일입니다.
QUEST_LV_0200_20150317_000166	Terima kasih. Kita bisa tetap aman di sini untuk sementara waktu.	고맙습니다. 당분간 안전하게 있을 수 있겠군요.
QUEST_LV_0200_20150317_000167	Beberapa minggu yang lalu, pasukan kami diserang saat mereka tertidur oleh Stone Frosts. {nl} Setelah dunia menjadi seperti ini, bantuanpun tidak kunjung datang sehingga tiada cara selain menunggu dengan sabar.{nl} Lalu para monster menyerang korban yang sedang dibantu. Dasar mahkluk terkutuk!	여기 불과 몇 주 전에 석화서리에 당한 우리 전우들이 있습니다.{nl}세상이 이렇게 된 이후론 지원도 제대로 오지 않아서 방치하고 기다릴 수 밖에 없지요.{nl}그러는 와중 몬스터들이 석화된 피해자들을 공격하고 있습니다. 저주받을 녀석들!
QUEST_LV_0200_20150317_000168	Jika terdapat prajurit yang masih bertahan disekitar Stone, dapatkah Kamu berada di dekatnya dan melindungi mereka untuk sementara waktu?	아직 남아있는 돌이된 동료들이 있다면 곁에서 잠시만 지켜주실 수 있겠습니까?
QUEST_LV_0200_20150317_000169	Teman lamaku, Galen adalah salah satu korbannya.{nl} Lindungilah dia.	그 피해자들 중엔 제 오랜 친구 갈렌도 있습니다.{nl}부디 지켜주세요.
QUEST_LV_0200_20150317_000170	Terima kasih banyak. Aku berharap bala bantuan segera datang sehingga dia dapat kembali ke keluarganya walaupun ia dalam ketakutan.	정말 고맙습니다. 지원이 빨리와서 저런 모습이나마 가족들에게 돌아갈 수 있길 바랍니다.
QUEST_LV_0200_20150317_000171	Terdapat banyak Cursed Documents dan Uncleaned Objects di Ruklys Street. {nl} Di sana juga ada banyak pencuri yang mengincarnya. {nl} Dan di antara mereka, Dico Thieves yang paling sering menyerang Guards.	루클리스 거리엔 이름만큼이나 저주받을 문건들과 아직 청소되지 않은 물건들이 많습니다.{nl}그걸 노리고 이 도시에 몰려드는 도굴꾼 녀석들도 많죠.{nl}그 중 무리를 이룬 디코 도굴단 녀석들은 단체로 경비병들을 공격하는 일도 다반삽니다.
QUEST_LV_0200_20150317_000172	Dapatkah kamu mengalahkan mereka di Barracks District? {nl} Jika Kamu bisa mengalahkannya, kita akan pergi dan menangkap mereka.	군사 지구에서 녀석들을 제압해주실 수 있겠습니까?{nl}제압해 두시면 저희가 가서 압송하겠습니다.
QUEST_LV_0200_20150317_000173	Seseorang yang tertangkap berkata pada kami bahwa Stone Statues berbicara padanya.{nl}Apakah kamu berpikir itu masuk akal?	저번에 잡혀온 녀석은 석상들이 말을 건다고 하더군요.{nl}구차한 변명 아닙니까?
QUEST_LV_0200_20150317_000174	Aku bisa menangkap banyak pencuri berkat bantuan Kamu.{nl} Terima kasih.	당신 덕에 도굴꾼녀석들을 많이 연행할 수 있겠습니다.{nl}감사합니다.
QUEST_LV_0200_20150317_000175	Guard Nomabis	경비병 노마비스
QUEST_LV_0200_20150317_000176	Beberapa hari lalu, kami kehilangan Supplies akibat Dico Thieves.{nl}Mereka pasti membawanya ke Drasa Chapel Demolition, tapi karena aku tidak bisa meninggalkan tempat ini, kurasa kita semua akan mati.	며칠 전 우리 보급품을 디코 도굴단 녀석들에게 도둑맞았습니다.{nl}드라사 예배소 폐허로 가져간 게 분명한데 여길 비워둘 순 없으니 이러다 굶어죽게 생겼군요.
QUEST_LV_0200_20150317_000177	Dapatkah kamu mengambil kembali Supplies itu?	당신이 도둑맞은 보급품을 되찾아 주시지 않겠습니까?
QUEST_LV_0200_20150317_000178	Beberapa tahun yang lalu, para pencuri menyerang Guard Camp dan mencuri Supplies secara diam-diam.	수 십년 전엔 도굴꾼들이 경비초소를 습격하거나 몰래 보급품을 빼돌려서 공황상태가 온 적도 있습니다.
QUEST_LV_0200_20150317_000179	Mereka memancing kami untuk maju ke arah mereka dan mereka mencuri benda-benda dari belakang sehingga kami tidak bisa mencegahnya. {nl} Mereka ingin mengambil benda-benda tersebut sehingga secara hukum mereka akan dikirim ke tiang gantungan.	녀석들 앞에서 우릴 꾀어내곤 뒤에서 물건을 털어가니 어찌할 방법이 없습니다.{nl}자기들이 합법적으로 물건을 가져갈 수 있도록 해달라고 요구해서 교수대에 보내졌습니다.
QUEST_LV_0200_20150317_000180	Populasi Dico Thieves meningkat. {nl} Mereka sangat dekat dengan Monster. Aku tidak mengetahui apakah mereka melatih monster tersebut atau mereka memiliki rencana yang belum aku ketahui. {nl} Aku mendengar Knight Kaliss telah diserang oleh kawanannya. {nl} Entah apakah mereka sedang mengincar Sabina atau tidak. Karena ia selalu membawa benda berharga kemanapun ia pergi..	디코 도굴단 녀석들 점점 규모가 커지고 있어서 걱정입니다.{nl}몬스터들을 길들이기라도 하는 건지 아니면 뭔가 다른게 있는 건지 친하게 지내더군요.{nl}칼리스 기사단이 얼마 전에 공격당했다는 이야기를 들었습니다.{nl}어쩌면 사비나님을 노리고 있을지도 모르지요. 그 여자 주머니마다 값나가는 것들을 들고 다니니..
