ETC_20150317_000001	Kepa	케파
ETC_20150317_000320	Selama bertahun-tahun dalam linkungan sosial Vubbes telah berubah secara cepat dan sangat berbeda, dan menjadi rumit.	지난 몇 년간 부베 사회는 시간이 지날수록 급격히 분화되고 복잡해져 왔습니다. 
ETC_20150317_000321	Blue Vubbe Thief	푸른 부베 약탈자
ETC_20150317_000322	Vubbe Miner	부베 광부
ETC_20150317_000323	Nama yang sering diberikan mereka karena sering terlihat bertambang, tapi karena kehidupan Vubbe tidak diketahui dengan jelas, maka kita tidak tahu apa tugas utama mereka.	채굴하는 모습이 많이 목격되어 붙은 이름이지만, 부베 집단의 체계는 명확히 알려지지 않았기에 이들의 역할이 고정적인지는 모릅니다. 
ETC_20150317_000324	Red Vubbe Miner	붉은 부베 광부
ETC_20150317_000325	Blue Vubbe Miner	푸른 부베 광부
ETC_20150317_000326	Large Vubbe Miner	대형 부베 광부
ETC_20150317_000327	Vubbe Archer	부베 궁수
ETC_20150317_000328	Vubbe Archers adalah ahli menggunakan senjata jarak jauh. Inilah yang membuat beberapa orang berpikir vubbe memiliki tugas masing-masing.	부베궁수는 투사무기에 특화된 모습을 보입니다. 혹자는 이런 점을 들어 부베의 직군이 명확히 짜져있다고 주장합니다.
ETC_20150317_000329	Red Vubbe archer	붉은 부베 궁수
ETC_20150317_000330	Dengan mengumpulkan dan menggunakan busur dan panah yang dibuat Vubbes, mungkin akan ada kesempatan untuk menggunakannya nanti.	부베들이 만든 활과 화살을 수거해서 사용하는 일도 가능하긴 합니다.
ETC_20150317_000331	Big Eye	눈팅이
ETC_20150317_000332	Eyeball	눈까리
ETC_20150317_000333	Prison Guard	감옥 간수
ETC_20150317_000334	Paladin Follower A1	팔라딘 추종자A1
ETC_20150317_000335	Paladin Follower A2	팔라딘 추종자A2
ETC_20150317_000336	Paladin Follower A3	팔라딘 추종자A3
ETC_20150317_000337	Explosion Mine	폭발 지뢰
ETC_20150317_000338	Toxic Mine	맹독 지뢰
ETC_20150317_000339	Antipersonnel Mine	대인 지뢰
ETC_20150317_000340	HellFire Mine	불지옥 지뢰
ETC_20150317_000341	Citizen	마을사람
ETC_20150317_000342	Baby Angel Statue	아기천사상
ETC_20150317_000343	Hall Statue	홀 석상
ETC_20150317_000344	Hidden Trigger Monster Type	히든 트리거 몬스터형
ETC_20150317_000345	Carved Owl Statue	부엉이 조각상
ETC_20150317_000346	Transparent Object	투명 오브젝트
ETC_20150317_000347	Fire Ball	파이어 볼
ETC_20150317_000348	Armed Tortoise Shell Large	자주포 거북 껍질 대
ETC_20150317_000349	Armed Tortoise Shell	자주포 거북 껍질
ETC_20150317_000350	Male Apostate (3D)	남자 배교자(3D)
ETC_20150317_000351	Female Apostate (3D)	여자 배교자(3D)
ETC_20150317_000352	Modification	수정
ETC_20150317_000353	Abomination	어보미네이션
ETC_20150317_000354	High Vubbe Fighter	하이 부베 투사
ETC_20150317_000355	Monster Wizard	몬스터 위저드
ETC_20150317_000356	Sacks (temporary)	포대(임시)
ETC_20150317_000357	Block of ice	얼음 덩어리
ETC_20150317_000358	Pillar of ice	얼음 기둥
ETC_20150317_000359	Bonfire	모닥불
ETC_20150317_000360	Mine	지뢰
ETC_20150317_000361	Pavise	파비스
ETC_20150317_000362	Subzero Shield	서브제로쉴드
ETC_20150317_000363	Dice	주사위
ETC_20150317_000364	Catapult	투석기
ETC_20150317_000365	Butterfly Bush	나비 덤불
ETC_20150317_000366	Bramble Bush	가시덤불
ETC_20150317_000367	Sword Pell	검 연습대
ETC_20150317_000368	Bait	미끼
ETC_20150317_000369	Hit object	타격오브젝트
ETC_20150317_000370	Long-sleeved tree	긴팔 나무
ETC_20150317_000371	Monster yang bermutasi dari semak dan ranting dan memiliki dua tipe serangan.	관목이 잔가지를 버리고  두 개의 가지를 사용하여 공격하는 형태로 변이된 몬스터입니다.
ETC_20150317_000372	Rakter	락터
ETC_20150317_000373	Venucelos	베누켈로스
ETC_20150317_000374	Dalam sebuah cerita, Mereka adalah yang pasukan penjaga yang dibuat langsung oleh Raja Zachariel.	일설에 의하면 경비견은 자카리엘 대왕이 손수 시안을 잡아 만든 것이라 합니다.
ETC_20150317_000375	Grave Golem	묘지 골렘
ETC_20150317_000376	Kepa Chieftain	케파치프틴
ETC_20150317_000377	Poata	포아타
ETC_20150317_000378	Deadborn	데드본
ETC_20150317_000379	Salamander	샐러맨더
ETC_20150317_000380	Saltistter	살티스터
ETC_20150317_000381	Ginklas	긴클라스
ETC_20150317_000382	Stone Whale	석화고래
ETC_20150317_000383	Tutu	투투
ETC_20150317_000384	Yonazolem	요나졸렘
ETC_20150317_000385	Master Genie	마스터 지니
ETC_20150317_000386	BiteRegina	비테레지나
ETC_20150317_000387	Iltiswort	일티스워트
ETC_20150317_000388	Giant Redwood	자이언트 레드 우드
ETC_20150317_000389	Lepus	레푸스
ETC_20150317_000390	Mushcaria	머슈카리아
ETC_20150317_000391	Chafer	체이퍼
ETC_20150317_000392	Gaigalas	가이갈라스
ETC_20150317_000393	Throneweaver	쓰론위버
ETC_20150317_000394	Bebraspion	베브라스피온
ETC_20150317_000395	Soggy Mushwort	눅눅한 머쉬워트
ETC_20150317_000396	Sparnas	스파르나스
ETC_20150317_000397	Mineloader	마인로더
ETC_20150317_000398	Rajatoad	라자토드
ETC_20150317_000399	Shadowgaler	섀도게일러
ETC_20150317_000400	Helgasercle	헬가세르클
ETC_20150317_000401	Necroventer	네크로벤터
ETC_20150317_000402	Squirming Lutopus	꿈틀대는 루토푸스
ETC_20150317_000403	Rinkroller	링크롤러
ETC_20150317_000404	Rocktortuga	락토르투가
ETC_20150317_000405	Yekub	예쿱
ETC_20150317_000406	Poisonous RytaSwort	독포자 리타스워트
ETC_20150317_000407	Ravinepede	라바인피드
ETC_20150317_000408	NetherBovine	네더보바인
ETC_20150317_000409	Wild Carnivore	광폭해진 카너버
ETC_20150317_000410	TombLord	툼로드
ETC_20150317_000411	Ehat	에하트
ETC_20150317_000412	Shnayim	쉬나임
ETC_20150317_000413	Honeypin	허니핀
ETC_20150317_000414	Rajapearl	라자펄
ETC_20150317_000415	Cyclops	사이클롭스
ETC_20150317_000416	Archon	아콘
ETC_20150317_000417	Carapace	캐러페이스
ETC_20150317_000418	Werewolf	웨어울프
ETC_20150317_000419	Tiny	티니
ETC_20150317_000420	Memiliki tampilan yang lucu, sehingga banyak orang telah mengincar Tiny, tapi tidak berhasil.	귀여운 외모 덕에 많은 사람들이 티니를 길들이려 하였으나 성공한 적이 없다고합니다.
ETC_20150317_000421	TreeAmbulo	트리암불로
ETC_20150317_000422	Yang membedakan TreeAmbulo dengan monster lain dari dunia iblis adalah, ia bukan monster yang telah berubah dari mahluk hidup atau benda mati.	트리암불로는 마계에 기원한 몬스터로 선입견과 달리 생물이나 사물이 변형된 몬스터가 아닙니다.
ETC_20150317_000423	Golemlet	골렘릿
ETC_20150317_000424	Vubbesquior	부베스콰
ETC_20150317_000425	Spion	스피온
ETC_20150317_000426	Jika melatihnya dengan baik maka akan mengikuti perintah tuannya. Biasanya yang menjadi tuannya adalah kaum Demon.	잘 훈련시키면 주인을 따릅니다. 문제는 그 주인이란 대개 마족이란 점입니다.
ETC_20150317_000427	Mitislampa	미티스램파
ETC_20150317_000428	Speckerl	스페컬
ETC_20150317_000429	Skap	스캡
ETC_20150317_000430	Shredded	쉬레디드
ETC_20150317_000431	Shredded adalah Monster yang terbentuk dari sisa-sisa ketika Kaum Demon menciptakan Monster sebagai hantu yang kuat.	쉬레디드는 마족이 강력한 원혼으로 몬스터를 만들 때 떨어져 나온 부산물에서 기원한 몬스터입니다.
ETC_20150317_000432	Yekubite	에큐바이트
ETC_20150317_000433	Yekub adalah jiwa dari dunia demon menyebar ke seluruh penjuru untuk membuat kekacauan. Nama Yekubite diberikan kepada Alter Ego mereka.	예쿱은 마계에서 악명를 떨친 존재이며 많은 분신을 낳아 세상에 퍼뜨렸습니다. 에큐바이트는 그런 분신들에게 붙여진 이름입니다.
ETC_20150317_000434	Shardstatue	샤드스태튜
ETC_20150317_000435	Monster yang terbentuk karena kaum Demon merasuki patung Goddess  yang telah hilang kesuciannya.	신성이 떠난 여신상에 빙의한 마족이 자신만의 피조물로 만든 몬스터입니다.
ETC_20150317_000436	Deadborn Scap	데드본스캡
ETC_20150317_000437	Cire	사이어
ETC_20150317_000438	Monster ini tidak berasal dari tanaman biasa, melainkan dari tanaman mati yang diberikan kehidupan, tapi tidak ada teori yang bisa membuktikannya.	정확히는 초목이 변형된 몬스터가 아니라 썩어가는 초목이 생명을 얻은 것이라 합니다만, 그 흔적은 찾기 쉽지 않습니다.
ETC_20150317_000439	Lithaspung	리타스펑
ETC_20150317_000440	Teespung	티스펑
ETC_20150317_000441	Mushpung	머쉬펑
ETC_20150317_000442	Treegool	트리굴
ETC_20150317_000443	Setelah menjadi monster, dengan badan kayu yang keras dan tidak memiliki daun. Treegol mencari makan dengan berburu.	몬스터로 변한 후 목질이 단단해지고 잎이 없어진 트리굴은 없어진 광합성 능력을 사냥으로 보충합니다.
ETC_20150317_000444	Cyst	시스트
ETC_20150317_000445	Ammon	암몬
ETC_20150317_000446	Ammon telah membahayakan manusia sejak lama, ia adalah monster dari zaman kuno	암몬은 고대부터 존재한 몬스터로 많은 사람을 해쳐왔습니다. 
ETC_20150317_000447	Operor	오페러
ETC_20150317_000448	Operor adalah monster jenis yang tetap menjaga bentuk aslinya, suka menyerang dan sangat kejam.	오페러는 비교적 원형을 유지하고 있는 몬스터지만, 그 공격성과 사나움은 심해졌습니다.
ETC_20150317_000449	Chafperor	체이퍼러
ETC_20150317_000450	Monster mutasi dari lebah dan kumbang yang buas. Memiliki sistem pertahanan seperti armor	벌과 딱정벌레의 장점에 변이된 몬스터의 사나움이 깃든 몬스터입니다. 벌처럼 체계를 지닙니다.
ETC_20150317_000451	RavineLerva	러바인러바
ETC_20150317_000452	Sebelum diketahui sebagai perubahan dari tanaman, ia diperkirakan sebagai larva dari suatu Monster yang terbentuk dari mutasi suatu tanaman dan beberapa monster larva.	식물변형이란 점이 밝혀지기 전에는 어떤 몬스터의 유충이 아닌가 추측이 있었습니다.
ETC_20150317_000453	Nethercaffe	네더카프
ETC_20150317_000454	Infrogalas	인프로갈라스
ETC_20150317_000455	Carneybeopung	카니버펑
ETC_20150317_000456	Vespa	베스퍼
ETC_20150317_000457	Monster yang awalnya adalah hewan yang hidup di sekitar kuburan raja, dan bermutasi karena mendapatkan pengaruh energi iblis.	왕릉에 서식하던 동물이 근래에 마기의 영향을 받아 변형된 몬스터입니다.
ETC_20150317_000458	Karas	카라스
ETC_20150317_000459	Makhluk yang terbuat dari sihir dan memyimpan kekuatan golem tertentu yang garang.	엄밀히는 골렘의 일종이나 만든이의 염원이 담긴 이름을 지닌 마법피조물입니다.
ETC_20150317_000460	Ehad	에하드
ETC_20150317_000461	Makhluk penunggu makam raja, Walaupun lemah namun memiliki kekuatan Goddess dan termasuk kuat bagi kaum Demon.	왕릉을 수호하기 위해 만들어진 마법피조물이며 약하지만 여신의 힘도 깃들어 마족에게 강한 편입니다.
ETC_20150317_000462	Switayim	쉬타임
ETC_20150317_000463	Tidak seperti penampilannya, kekuatannya yang diberikan oleh Goddess  dapat berpengaruh fatal ke Demon.	외양과 달리 이 마법피조물에는 여신의 축복이 깃들어 있어 마족에게 치명적일 수 있습니다.
ETC_20150317_000464	Tombsinker	툼싱커
ETC_20150317_000465	Tombsinker dibuat dan ditempatkan di Makam raja dengan tujuan untuk mengganggu aktivitas Demon yang menyusup.	툼싱커를 비롯한 왕릉에 배치된 것들은 특별히 마족의 침입에 강하도록 만들어졌습니다.
ETC_20150317_000466	Graztaz	그라즈타스
ETC_20150317_000467	Abogust	어보거스트
ETC_20150317_000468	Weaver	위버
ETC_20150317_000469	Benang weaver terbuat dari bahan yang kuat sekeras batu	위버가 돌로 된 실을 잣는다는 소문이 있습니다.
ETC_20150317_000470	Hallowventer	할로우벤터
ETC_20150317_000471	Jangan ruang kosong secara langsung yang merupakan bagian kepala mereka.	그들 머리 부분의 깊은 공허를 직시하지 마십시오.
ETC_20150317_000472	Meleech	멜리치
ETC_20150317_000473	Keras dan memiliki racun dan suka menghisap darah.	단단하고 독성이 있으며 무엇보다 흡혈 본능이 남아 있습니다.
ETC_20150317_000474	Infro Salamander	인프로 샐러맨더
ETC_20150317_000475	Zolem	졸렘
ETC_20150317_000476	Zolem berbeda dari golem biasa yang bergerak karena magic, dia digerakkan oleh aura.	졸렘이 일반 골렘과 다른 차이점은 마법이 아닌 다른 기운에 의해 움직인다는 점입니다.  
ETC_20150317_000477	Kepareda	케파레이더
ETC_20150317_000478	Masih keturunan dari kepa, monster asli yang berasal dari dunia iblis.	케파가 연상되어 명칭이 붙었지만, 엄연히 마계를 기원으로 하는 몬스터입니다.
ETC_20150317_000479	Mushcarfung	머슈카펑
ETC_20150317_000480	Wood Goblin	우드고블린
ETC_20150317_000481	Makhluk jahat yang dipanggil Vubbes karena menerima takdirnya dari Kaum demon. Walaupun tidak diketahui lokasi jelasnya, sesekali ia muncul di luar area aktivitas Vubbes.	부베가 마족의 사주를 받아 불러낸 마물의 일종입니다. 경로는 모르지만 부베가 활동하지 않는 지역에서도 나타나곤 합니다.
ETC_20150317_000482	Red Wood Goblin	붉은 우드고블린
ETC_20150317_000483	Templeslave	템플슬레이브
ETC_20150317_000484	Ringring	링링
ETC_20150317_000485	Woodin	우딘
ETC_20150317_000486	Stone Orca	스톤오르카
ETC_20150317_000487	Sering dianggap sebagai lumba-lumba karena karakteristiknya yang mirip. namun sebenarnya monster mutasi yang berasal dari Stone Whale.	변이형 몬스터가 돌고래라는 특정한 형태를 갖춰 그에 맞는 특성을 보이는 흔치 않은 특징의 몬스터입니다. 석화고래의 소형에 해당합니다.
ETC_20150317_000488	Rajapearlite	라자펄라이트
ETC_20150317_000489	Drape	드레이프
ETC_20150317_000490	Dianggap sebagai Monster tipe Clay karena memiliki ekor yang tajam, dan terlihat seperti monster evolusi yang terbuat dari batu amber tambang.	날카로운 꼬리 때문에 클라이라 종류로 여겨졌지만 호박성 광물을 기원으로 변형된 몬스터로 보입니다.
ETC_20150317_000491	Infroholder	인프로홀더
ETC_20150317_000492	Walau banyak memiliki sub-spesies yang banyak dari Demon. Infroholder menjadi salah satu yang sering muncul.	마족이 출현이 빈번해지자 그로부터 많은 변종이 생겼는데, 인프로홀더 역시 그런 몬스터의 하나입니다.
ETC_20150317_000493	Repsubunny	레푸스버니
ETC_20150317_000494	Dahulu kala merupakan hewan yang jinak terhadap manusia, namun sekarang lebih ganas dan berbahaya daripada beruang.	한때는 인간에게 친숙한 동물이었지만, 지금은 곰보다 위험한 생물입니다.
ETC_20150317_000495	Nuwort	누워트
ETC_20150317_000496	Beadbird	청옥조
ETC_20150317_000497	Minos	미노스
ETC_20150317_000498	Amori	아모리
ETC_20150317_000499	Amori adalah sesuatu yang armor nya diselimuti oleh aura kegelapan, ia berbeda dengan Durahan.	아모리는 갑옷이 악한 기운에 물든 것으로 듀라한과는 차이가 있습니다.
ETC_20150317_000500	Mine Lever	마인레버
ETC_20150317_000501	Shadowgaler_summon	섀도게일러_소환물
ETC_20150317_000502	Hound	하운드
ETC_20150317_000503	Apakah itu disebut ekor di belakang punggung?	대체 저것을 등에 달린 꼬리라고 해야 할까요?
ETC_20150317_000504	Stoulet	스타울리트
ETC_20150317_000505	Sebagai Demon sudah seharusnya menghormati yang lebih kuat. Bengis kepada yang lemah, menyerang lebih aggresif.	마족치고는 강자를 존경하는 특징이 있습니다. 약자에겐 잔혹하고 강자에겐 더 적극적으로 공격하니 결국 별 차이는 없습니다.
ETC_20150317_000506	Rajatadpole	라자태드폴
ETC_20150317_000507	Tentacles	촉수
ETC_20150317_000508	InfroBurk	인프로버크
ETC_20150317_000509	InfroBurk monster yang tidak banyak diketahui, namun yang pasti monster ini sangat buas.	인프로버크가 어떤 몬스터의 소형인지 확실하지 않습니다. 확실한 점은 사납다는 것입니다.
ETC_20150317_000510	Mandara Soldier	만다라병사
ETC_20150317_000511	Night Maiden	밤의시녀
ETC_20150317_000512	Worg	워그
ETC_20150317_000513	Saltis Daughter	살티스도터
ETC_20150317_000514	Prison Fighter	뇌옥투사
ETC_20150317_000515	Ketika bosan, dia juga menghabisi sesamanya Demon.	심심하면 같은 마족 병사도 살해하는 자들입니다.
ETC_20150317_000516	Greentoshell	틈게
ETC_20150317_000517	Sparnicht	스파니히트
ETC_20150317_000518	Infrorocktor	인프로락터
ETC_20150317_000519	Termasuk monster kecil yang merupakan campuran mutasi akan barang tambang dan kura-kura. Walaupun berkumpul diantara sesamanya, mereka beraktifitas masing-masing tanpa ikatan.	거북과 광물이 변이결합한 몬스터의 작은 종류입니다. 모여있어도 동족간의 유대없이 독자적으로 활동합니다.
